ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038799	1653656	Stock Option (Right to Buy)		5.35					F4	01-AUG-2026		Common Stock		30675.0				30675.0	F5			D			
0000950170-24-038799	1653655	Stock Option (Right to Buy)		17.28					F4	03-AUG-2025		Common Stock		11821.0				11821.0	F5			D			
0000950170-24-038799	1653654	Stock Option (Right to Buy)		21.53					F4	27-OCT-2024		Common Stock		10132.0				10132.0	F5			D			
0000950170-24-038799	1653657	Stock Option (Right to Buy)		4.1					F4	12-SEP-2027		Common Stock		42919.0				42919.0	F5			D			
0000950170-24-038797	1653708	Stock Option (Right to Buy)		21.53					F11	27-OCT-2024		Common Stock		10132.0				10132.0				I		See footnote.	F12
0000950170-24-038797	1653711	Stock Option (Right to Buy)		4.1					F11	12-SEP-2027		Common Stock		42919.0				42919.0				I		See footnote.	F12
0000950170-24-038797	1653710	Stock Option (Right to Buy)		5.35					F11	01-AUG-2026		Common Stock		30675.0				30675.0				I		See footnote.	F12
0000950170-24-038797	1653709	Stock Option (Right to Buy)		17.28					F11	03-AUG-2025		Common Stock		11821.0				11821.0				I		See footnote.	F12
0001140361-24-016692	1653680	Stock Option (right to buy)		0.92					F10	20-AUG-2031		Common Stock		53379.0				53379.0				D			
0001140361-24-016692	1653676	Stock Option (right to buy)		0.85					F6	10-JAN-2034		Common Stock		58255.0				58255.0				D			
0001140361-24-016692	1653677	Stock Option (right to buy)		0.91					F7	05-MAY-2030		Common Stock		16592.0				16592.0				D			
0001140361-24-016692	1653678	Stock Option (right to buy)		0.91					F8	05-MAY-2030		Common Stock		27668.0				27668.0				D			
0001140361-24-016692	1653679	Stock Option (right to buy)		0.91					F9	17-NOV-2030		Common Stock		9118.0				9118.0				D			
0001593968-24-000519	1653702	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2036		Common Stock		10000.0				10000.0				D			
0001593968-24-000519	1653701	Option (right to buy)		47.22				23-JUN-2021		23-JUN-2032		Common Stock		5000.0				5000.0				D			
0001593968-24-000518	1653690	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000516	1653734	Option (right to buy)		32.3				19-JUN-2019		19-JUN-2030		Common Stock		32709.0				32709.0				D			
0001593968-24-000515	1653642	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000513	1653614	Option (right to buy)		58.26				03-DEC-2023		03-DEC-2034		Common Stock		20000.0				20000.0				D			
0001593968-24-000512	1653612	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2031		Common Stock		10000.0				10000.0				D			
0001593968-24-000511	1653693	Non-Qualified Stock Option (right to buy)		20.83				19-APR-2017		19-APR-2028		Common Stock		10000.0				10000.0				D			
0001593968-24-000509	1653652	Option (right to buy)		94.86				17-JUN-2026		17-JUN-2037		Common Stock		10000.0				10000.0				D			
0001628280-24-013824	1653735	Restricted Stock Units			F2				F1		F1	Class  A  Common  Stock		24040.0								D			
0000897069-24-000800	1653629	Stock Option		0.14					F2	15-NOV-2028		Common Stock		240000.0				240000.0				D			
0000897069-24-000800	1653628	Stock Option		0.28					F2	03-MAY-2027		Common Stock		66667.0				66667.0				D			
0000897069-24-000800	1653627	Stock Option		0.23					F2	07-FEB-2027		Common Stock		200000.0				200000.0				D			
0000897069-24-000800	1653626	Stock Option		0.25					F2	13-DEC-2026		Common Stock		700000.0				700000.0				D			
0000897069-24-000800	1653630	Stock Option		0.09					F1	15-DEC-2031		Common Stock		133333.0				133333.0				D			
0001610717-24-000197	1653703	Stock Option (Right to Buy)		23.85					F2	29-APR-2033		Common Stock		200000.0								D			
0001610717-24-000197	1653704	Stock Option (Right to Buy)		29.8					F3	28-FEB-2034		Common Stock		64400.0								D			
0000935836-24-000326	1653682	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			147606.0				I		See Note	F5
0000935836-24-000326	1653683	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			64919.0				I		See Note	F6
0000935836-24-000326	1653684	Class B Common Stock			F2				F2		F2	Class A Common Stock			F2			6832130.0				I		See Note	F7
0001683168-24-001889	1653691	Restricted Stock Units			F2				F3		F3	Common Stock		3200.0				3200.0				D			
0001683168-24-001889	1653692	Restricted Stock Units			F3				F4		F4	Common Stock		4652.0				4652.0				D			
0001493152-24-011987	1653706	OPTION TO PURCHASE COMMON STOCK		0.18				11-MAR-2024	F1	11-MAR-2034		A		4000000.0								D			
0000950170-24-038686	1653675	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038679	1653733	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038673	1653653	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038663	1653689	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		60000.0				60000.0				D			
0000950170-24-038652	1653712	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038648	1653732	Stock Option (Right to Buy)		1.2				28-MAR-2025		27-MAR-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-038626	1653660	Class B Common Stock			F7				F7		F7	Class A Common Stock		1961668.0				1961668.0				I		Shares owned by LLC	F8
0001415889-24-009425	1653664	Stock Options (right  to buy)		73.61					F5	26-MAR-2029		Common Stock		15337.0				15337.0				D			
0001415889-24-009425	1653661	Stock Option (right to buy)		14.0					F5	30-JUL-2024		Common Stock		70000.0				70000.0				D			
0001415889-24-009425	1653662	Stock Option (right to buy)		41.28					F5	27-MAR-2027		Common Stock		19897.0				19897.0				D			
0001415889-24-009425	1653663	Stock Options (right to buy)		61.72					F5	27-MAR-2028		Common Stock		14228.0				14228.0				D			
0001415889-24-009421	1653726	Stock Option (right to buy)		41.28					F3	27-MAR-2027		Common Stock		17409.0				17409.0				D			
0001415889-24-009421	1653727	Stock Option (right to buy)		61.72					F3	27-MAR-2028		Common Stock		23929.0				23929.0				D			
0001415889-24-009421	1653731	Stock Option (right to buy)		73.61					F3	26-MAR-2029		Common Stock		12782.0				12782.0				I		by GKF, LLC	
0001415889-24-009421	1653729	Stock Option (right to buy)		41.28					F3	27-MAR-2027		Common Stock		34820.0				34820.0				I		by GKF, LLC	
0001415889-24-009421	1653730	Stock Option (right to buy)		61.72					F3	27-MAR-2028		Common Stock		23930.0				23930.0				I		by GKF, LLC	
0001415889-24-009421	1653728	Stock Option (right to buy)		73.61					F3	26-MAR-2029		Common Stock		38343.0				38343.0				D			
0001415889-24-009403	1653718	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		3720.0				3720.0				D			
0001415889-24-009403	1653717	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		5380.0				5380.0				D			
0001415889-24-009403	1653716	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		2980.0				2980.0				D			
0001415889-24-009403	1653715	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		1300.0				1300.0				D			
0001415889-24-009403	1653719	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		2000.0				2000.0				D			
0001415889-24-009403	1653725	Stock Options (Right to Buy)		34.03					F2	01-MAR-2032		Common Stock		4629.0				4629.0				D			
0001415889-24-009403	1653721	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		3600.0				3600.0				D			
0001415889-24-009403	1653722	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		2670.0				2670.0				D			
0001415889-24-009403	1653723	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		2099.0				2099.0				D			
0001415889-24-009403	1653724	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		3616.0				3616.0				D			
0001415889-24-009403	1653720	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		4140.0				4140.0				D			
0001415889-24-009402	1653634	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		1560.0				1560.0				D			
0001415889-24-009402	1653633	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		2400.0				2400.0				D			
0001415889-24-009402	1653632	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		2200.0				2200.0				D			
0001415889-24-009402	1653631	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		1300.0				1300.0				D			
0001415889-24-009402	1653635	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		1740.0				1740.0				D			
0001415889-24-009402	1653641	Stock Options (Right to Buy)		34.03					F2	01-MAR-2032		Common Stock		1944.0				1944.0				D			
0001415889-24-009402	1653640	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		1429.0				1429.0				D			
0001415889-24-009402	1653639	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		1153.0				1153.0				D			
0001415889-24-009402	1653638	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		1770.0				1770.0				D			
0001415889-24-009402	1653637	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		1580.0				1580.0				D			
0001415889-24-009402	1653636	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		980.0				980.0				D			
0001415889-24-009401	1653665	Stock Options (Right to Buy)		25.38					F1	02-MAR-2025		Common Stock		5760.0				5760.0				D			
0001415889-24-009401	1653666	Stock Options (Right to Buy)		24.83					F1	01-MAR-2026		Common Stock		5900.0				5900.0				D			
0001415889-24-009401	1653667	Stock Options (Right to Buy)		34.8					F1	01-MAR-2027		Common Stock		4100.0				4100.0				D			
0001415889-24-009401	1653673	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		2730.0				2730.0				D			
0001415889-24-009401	1653674	Stock Options (Right to Buy)		34.03					F1	01-MAR-2032		Common Stock		3143.0				3143.0				D			
0001415889-24-009401	1653671	Stock Options (Right to Buy)		40.1					F1	02-MAR-2030		Common Stock		2930.0				2930.0				D			
0001415889-24-009401	1653670	Stock Options (Right to Buy)		44.45					F1	01-MAR-2029		Common Stock		3960.0				3960.0				D			
0001415889-24-009401	1653669	Stock Options (Right to Buy)		33.58					F1	01-MAR-2028		Common Stock		4560.0				4560.0				D			
0001415889-24-009401	1653668	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		2040.0				2040.0				D			
0001415889-24-009401	1653672	Stock Options (Right to Buy)		38.25					F1	01-MAR-2031		Common Stock		1864.0				1864.0				D			
0001415889-24-009399	1653624	Stock Options (Right to Buy)		38.11				29-OCT-2021		29-OCT-2031		Common Stock		1829.0				1829.0				D			
0001415889-24-009399	1653623	Stock Options (Right to Buy)		38.25					F1	01-MAR-2031		Common Stock		926.0				926.0				D			
0001415889-24-009399	1653622	Stock Options (Right to Buy)		40.1					F1	02-MAR-2030		Common Stock		300.0				300.0				D			
0001415889-24-009399	1653625	Stock Options (Right to Buy)		34.03					F1	01-MAR-2032		Common Stock		1709.0				1709.0				D			
0001127602-24-011437	1653620	Option (Right to Buy)		32.73					F6	15-MAR-2031		Common Stock		90.0								D			
0001127602-24-011437	1653621	Option (Right to Buy)		38.58					F7	14-MAR-2032		Common Stock		73.0								D			
0001127602-24-011437	1653619	Option (Right to Buy)		28.22					F5	16-MAR-2030		Common Stock		197.0								D			
0001127602-24-011437	1653618	Option (Right to Buy)		29.84					F4	18-MAR-2029		Common Stock		190.0								D			
0001127602-24-011437	1653617	Option (Right to Buy)		34.33					F3	19-MAR-2028		Common Stock		75.0								D			
0001127602-24-011437	1653615	Option (Right to Buy)		21.86					F1	14-MAR-2026		Common Stock		189.0								D			
0001127602-24-011437	1653616	Option (Right to Buy)		30.46					F2	20-MAR-2027		Common Stock		74.0								D			
0001415889-24-009397	1653643	Stock Options (Right to Buy)		22.94					F1	01-APR-2024		Common Stock		8400.0				8400.0				D			
0001415889-24-009397	1653644	Stock Options (Right to Buy)		25.38					F2	02-MAR-2025		Common Stock		14340.0				14340.0				D			
0001415889-24-009397	1653645	Stock Options (Right to Buy)		24.83					F2	01-MAR-2026		Common Stock		14820.0				14820.0				D			
0001415889-24-009397	1653646	Stock Options (Right to Buy)		34.8					F2	01-MAR-2027		Common Stock		10360.0				10360.0				D			
0001415889-24-009397	1653647	Stock Options (Right to Buy)		33.58					F3	01-MAR-2028		Common Stock		5420.0				5420.0				D			
0001415889-24-009397	1653648	Stock Options (Right to Buy)		33.58					F2	01-MAR-2028		Common Stock		11540.0				11540.0				D			
0001415889-24-009397	1653651	Stock Options (Right to Buy)		38.25					F2	01-MAR-2031		Common Stock		4723.0				4723.0				D			
0001415889-24-009397	1653649	Stock Options (Right to Buy)		44.45					F2	01-MAR-2029		Common Stock		10030.0				10030.0				D			
0001415889-24-009397	1653650	Stock Options (Right to Buy)		40.1					F2	02-MAR-2030		Common Stock		7430.0				7430.0				D			
0000794367-24-000072	1653658	Restricted Stock Units			F2				F1		F1	Common Stock		37313.0								D			
0000794367-24-000072	1653659	Restricted Stock Units			F2				F3		F3	Common Stock		12437.0								D			
0001062993-24-007428	1653705	Phantom Stock			F1				F1		F1	Common Stock - Voting		0.0				2478.91				I		Non Qualified Retirement Savings Plan	
0001062993-24-007424	1653694	Phantom Stock			F1				F1		F1	Common Stock - Voting		0.0				27649.55				I		Non Qualified Retirement Savings Plan	
0001962329-24-000002	1653613	Class B Ordinary Shares, par value $0.05 per share			F5				F5		F5	Class A Ordinary Shares, par value $0.05 per share		8076732.0				8076732.0				I		By Shan Lao Hu Tong LLC, Ji Xiang Hu Tong Holdings Limited and TALENT BOOM GROUP LIMITED	F6, F4
0000950170-24-038455	1653526	Stock Option (Right to Buy)		10.01					F2	18-OCT-2028		Common Stock		20000.0								D			
0000950170-24-038455	1653527	Stock Option (Right to Buy)		11.0					F3	30-MAY-2029		Common Stock		2000.0								D			
0000950170-24-038455	1653528	Stock Option (Right to Buy)		1.57					F4	17-DEC-2029		Common Stock		25000.0								D			
0000950170-24-038455	1653533	Stock Option (Right to Buy)		4.45					F9	14-DEC-2033		Common Stock		40000.0								D			
0000950170-24-038455	1653530	Stock Option (Right to Buy)		1.23					F6	16-DEC-2030		Common Stock		50000.0								D			
0000950170-24-038455	1653531	Stock Option (Right to Buy)		1.11					F7	14-DEC-2031		Common Stock		50000.0								D			
0000950170-24-038455	1653532	Stock Option (Right to Buy)		1.51					F8	13-DEC-2032		Common Stock		150000.0								D			
0000950170-24-038455	1653529	Stock Option (Right to Buy)		1.13					F5	21-OCT-2030		Common Stock		75000.0								D			
0001140361-24-016364	1653552	Warrants to purchase Class A Common Stock		11.5					F3		F4	Class A Common Stock		71340.0				71340.0	F1			I		See footnote	F2
0001934737-24-000010	1653451	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001934737-24-000010	1653450	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		30000000.0				30000000.0	F1			D			
0001934737-24-000010	1653452	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001476840-24-000039	1653433	LT50 Common Stock			F10				F10		F10	Class A Common Stock		534925.0				534925.0				I		See note	F11, F12
0001476840-24-000037	1653611	LT50 Common Stock			F17				F17		F17	Class A Common Stock		3583249.0				3583249.0				I		See note	F18, F9
0001408939-24-000002	1653518	Employee Stock Option (Right to Buy)		0.22				21-FEB-2023		21-FEB-2028		Common Stock		50000.0	F6			518750.0				D			
0001408939-24-000002	1653516	Employee Stock Option (Right to Buy)		0.81				06-APR-2021		06-APR-2026		Common Stock		50000.0	F4			518750.0				D			
0001408939-24-000002	1653515	Employee Stock Option (Right to Buy)		0.39				01-FEB-2021		01-FEB-2026		Common Stock		50000.0	F3			518750.0				D			
0001408939-24-000002	1653514	Employee Stock Option (Right to Buy)		0.33				30-JUN-2020		30-JUN-2025		Common Stock		50000.0	F2			518750.0				D			
0001408939-24-000002	1653517	Employee Stock Option (Right to Buy)		0.39				01-FEB-2022		01-FEB-2027		Common Stock		150000.0	F5			518750.0				D			
0001493152-24-011826	1653439	Stock option		6.76				26-JUL-2019		26-JUL-2026		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653434	Stock option		1.33				27-APR-2024		27-APR-2031		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653435	Stock option		6.79				27-APR-2023		27-APR-2030		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653436	Stock option		5.72				27-APR-2022		27-APR-2029		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653437	Stock option		4.94				25-APR-2021		25-APR-2028		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653438	Stock option		5.85				20-MAY-2020		20-MAY-2027		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653445	M Warrants		9.1				30-MAR-2019		30-MAR-2024		Common Stock		56280.0				56280.0				D			
0001493152-24-011826	1653440	Stock option		9.36				27-APR-2018		27-APR-2025		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653441	Stock option		7.15				15-SEP-2018		15-SEP-2025		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653442	Stock option		9.36				25-NOV-2017		25-NOV-2024		Common Stock		9616.0				9616.0				D			
0001493152-24-011826	1653443	Stock option		7.93				27-MAY-2017		27-MAY-2024		Common Stock		19231.0				19231.0				D			
0001493152-24-011826	1653444	Q Warrants		3.51				31-MAR-2020		30-MAR-2025		Common Stock		75029.0				75029.0				D			
0001493152-24-011824	1653600	Stock Option (right to buy)		5.95				17-JAN-2024		17-JAN-2030		Common Stock		15385.0				15385.0				D			
0001474506-24-000118	1653564	Right to receive Earnout Shares			F2				F2		F2	Common Stock, par value $0.0001 per share		36000000.0	F4, F2, F3, F5							D			
0001315098-24-000065	1653534	Performance Stock Unit		0.0					F2		F2	Class  A Common Stock		114776.0	F3							D			
0001415889-24-009375	1653449	Class B common stock		0.0					F2		F2	Class A common stock		28182.0				28182.0				I		By charitable remainder trust UAD 3/15/22	
0001062993-24-007385	1653553	Phantom Stock		0.0	F2				F2		F2	Common Stock, par value $.01		22075.0				22075.0				D			
0001062993-24-007385	1653554	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		23365.0				23365.0				D			
0001062993-24-007385	1653555	Stock Option (Right to Buy)		3.03					F4	19-MAY-2027		Common Stock, par value $.01		21081.0				21081.0				D			
0001062993-24-007385	1653557	Stock Option (Right to Buy)		6.03					F4	19-MAY-2030		Common Stock, par value $.01		6416.0				6416.0				D			
0001062993-24-007385	1653558	Stock Option (Right to Buy)		12.0					F4	19-MAY-2030		Common Stock, par value $.01		3666.0				3666.0				D			
0001062993-24-007385	1653556	Stock Option (Right to Buy)		4.53					F4	19-MAY-2030		Common Stock, par value $.01		6416.0				6416.0				D			
0001062993-24-007384	1653610	Stock Option (Right to Buy)		12.0					F9	19-MAY-2030		Common Stock, par value $.01		4400.0				4400.0				D			
0001062993-24-007384	1653609	Stock Option (Right to Buy)		6.03					F9	19-MAY-2030		Common Stock, par value $.01		7699.0				7699.0				D			
0001062993-24-007384	1653608	Stock Option (Right to Buy)		4.53					F9	19-MAY-2030		Common Stock, par value $.01		7699.0				7699.0				D			
0001062993-24-007384	1653607	Stock Option (Right to Buy)		3.03					F9	19-MAY-2027		Common Stock, par value $.01		25297.0				25297.0				D			
0001062993-24-007384	1653605	Phantom Stock		0.0	F7				F7		F7	Common Stock, par value $.01		82585.0				82585.0				D			
0001062993-24-007384	1653606	Restricted Stock Units		0.0	F8				F8		F8	Common Stock, par value $.01		23365.0				23365.0				D			
0001062993-24-007383	1653578	Restricted Stock Units		0.0	F4				F4		F4	Common stock, par value $.01		100000.0				100000.0				D			
0001062993-24-007383	1653577	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		589006.0				589006.0				D			
0001062993-24-007383	1653588	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		200000.0				200000.0				D			
0001062993-24-007383	1653587	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		350000.0				350000.0				D			
0001062993-24-007383	1653586	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		350000.0				350000.0				D			
0001062993-24-007383	1653581	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		981707.0				981707.0				D			
0001062993-24-007383	1653584	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		170733.0				170733.0				D			
0001062993-24-007383	1653583	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		298780.0				298780.0				D			
0001062993-24-007383	1653582	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		298780.0				298780.0				D			
0001062993-24-007383	1653579	Restricted Stock Units		0.0	F5				F5		F5	Common stock, par value $.01		200000.0				200000.0				D			
0001062993-24-007383	1653580	Phantom Stock		0.0	F6				F6		F6	Common Stock, par value $.01		241589.0				241589.0				D			
0001062993-24-007383	1653585	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		1150000.0				1150000.0				D			
0001062993-24-007382	1653512	Stock Option (Right to Buy)		3.09					F7	15-JAN-2026		Common Stock, par value $.01		89744.0				89744.0				D			
0001062993-24-007382	1653513	Stock Option (Right to Buy)		12.5					F7	13-SEP-2027		Common Stock, par value $.01		30457.0				30457.0				D			
0001062993-24-007382	1653510	Stock Option (Right to Buy)		6.03					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1653509	Stock Option (Right to Buy)		4.53					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1653508	Stock Option (Right to Buy)		3.03					F7	19-FEB-2026		Common Stock, par value $.01		15000.0				15000.0				D			
0001062993-24-007382	1653504	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1653505	Performance Stock Units		0.0	F4				F4		F4	Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1653511	Stock Option (Right to Buy)		12.0					F7	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007382	1653507	Stock Option (Right to Buy)		4.28					F6	17-MAY-2030		Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007382	1653506	Stock Option (Right to Buy)		4.28					F5	17-MAY-2030		Common Stock, par value $.01		25000.0				25000.0				D			
0001062993-24-007381	1653576	Stock Option (Right to Buy)		3.9					F5	03-DEC-2028		Common Stock, par value $.01		72017.0				72017.0				D			
0001062993-24-007381	1653575	Stock Option (Right to Buy)		12.5					F5	13-SEP-2027		Common Stock, par value $.01		355330.0				355330.0				D			
0001062993-24-007381	1653574	Stock Option (Right to Buy)		16.24					F5	30-JUN-2026		Common Stock, par value $.01		45942.0				45942.0				D			
0001062993-24-007381	1653573	Stock Option (Right to Buy)		12.0					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1653572	Stock Option (Right to Buy)		6.03					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1653569	Performance Stock Units		0.0	F4				F4		F4	Common Stock, par value $.01		50000.0				50000.0				D			
0001062993-24-007381	1653570	Stock Option (Right to Buy)		3.03					F5	19-FEB-2026		Common Stock, par value $.01		15000.0				15000.0				D			
0001062993-24-007381	1653571	Stock Option (Right to Buy)		4.53					F5	19-FEB-2029		Common Stock, par value $.01		10000.0				10000.0				D			
0001062993-24-007381	1653568	Restricted Stock Units		0.0	F3				F3		F3	Common Stock, par value $.01		50000.0				50000.0				D			
0000897069-24-000795	1653591	Stock Option		0.09					F1	15-DEC-2021		Common Stock		900000.0				900000.0				D			
0000897069-24-000795	1653590	Stock Option		0.23					F2	07-FEB-2027		Common Stock		240000.0				240000.0				D			
0000897069-24-000795	1653589	Stock Option		0.25					F2	13-DEC-2026		Common Stock		700000.0				700000.0				D			
0001679788-24-000057	1653471	Class B Common Stock			F3				F3		F3	Class A Common Stock		601637.0				601637.0				I		By The Brian Armstrong Legacy Trust	F17
0001679788-24-000057	1653472	Class B Common Stock			F3				F3		F3	Class A Common Stock		2719574.0				2719574.0				I		By The Armstrong 2014 Irrevocable Trust	F18
0001679788-24-000057	1653473	Class B Common Stock			F3				F3		F3	Class A Common Stock		7301833.0				7301833.0				I		By The Armstrong 2018 Irrevocable Trsut	F19
0001683168-24-001831	1653565	Restricted Stock Units			F6				F6		F6	Common Stock		18208.0				18208.0				D			
0001683168-24-001831	1653567	Restricted Stock Units			F8				F8		F8	Common Stock		26667.0				26667.0				D			
0001683168-24-001831	1653566	Restricted Stock Units			F7				F7		F7	Common Stock		36337.0				36337.0				D			
0001278521-24-000002	1653466	Employee Stock Option (Right to Buy)		0.33				30-JUN-2020		30-JUN-2025		Common Stock		50000.0				518750.0	F2			D			
0001278521-24-000002	1653467	Employee Stock Option (Right to Buy)		0.39				01-FEB-2021		01-FEB-2026		Common Stock		50000.0	F3			518750.0				D			
0001278521-24-000002	1653470	Employee Stock Option (Right to Buy)		0.22				21-FEB-2023		21-FEB-2028		Common Stock		50000.0	F6			518750.0				D			
0001278521-24-000002	1653469	Employee Stock Option (Right to Buy)		0.39				01-FEB-2022		01-FEB-2027		Common Stock		150000.0	F5			518750.0				D			
0001278521-24-000002	1653468	Employee Stock Option (Right to Buy)		0.81				06-APR-2021		06-APR-2026		Common Stock		50000.0	F4			518750.0				D			
0001750219-24-000013	1653603	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001750219-24-000013	1653602	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001750219-24-000013	1653601	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		25000000.0				25000000.0	F1			D			
0000897069-24-000790	1653457	Stock Option (right to buy)		3000.0					F4	04-JAN-2026		Common Stock		14.0				14.0				D			
0000897069-24-000790	1653454	Stock Option (right to buy)		4.51					F3	20-APR-2033		Common Stock		41667.0				41667.0				D			
0000897069-24-000790	1653455	Stock Option (right to buy)		35.7					F4	28-OCT-2031		Common Stock		29167.0				29167.0				D			
0000897069-24-000790	1653456	Stock Option (right to buy)		300.0					F4	29-MAY-2028		Common Stock		83.0				83.0				D			
0001104659-24-040570	1653453	Series A Preferred Stock			F1				F1		F1	Common Stock		7812500.0								I		See footnotes	F4, F2, F3
0001104659-24-040563	1653495	Series A Preferred Stock			F1				F1		F1	Common Stock		7812500.0								I		See footnotes	F4, F2, F3
