ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-24-004406	1644539	Stock Option		21.55					F3	27-MAY-2027		Common Stock		1125.0				1125.0				D			
0001127602-24-004406	1644540	Stock Option		24.91					F4	24-MAY-2030		Common Stock		2250.0				2250.0				D			
0001127602-24-004406	1644541	Stock Option		38.88					F5	16-MAY-2024		Common Stock		2250.0				2250.0				D			
0001127602-24-004392	1644584	Stock Option		38.88					F2	16-MAY-2024		Common Stock		1250.0				1250.0				D			
0001127602-24-004392	1644585	Stock Option		45.65					F3	15-MAY-2025		Common Stock		1250.0				1250.0				D			
0001127602-24-004392	1644586	Stock Option		38.93					F4	15-MAY-2026		Common Stock		1250.0				1250.0				D			
0001127602-24-004392	1644587	Stock Option		21.55					F5	27-MAY-2027		Common Stock		1500.0				1500.0				D			
0001127602-24-004392	1644588	Stock Option		38.78					F6	19-MAY-2028		Common Stock		1500.0				1500.0				D			
0001127602-24-004392	1644589	Stock Option		32.3					F7	18-MAY-2029		Common Stock		1500.0				1500.0				D			
0001127602-24-004392	1644590	Stock Option		24.91					F8	24-MAY-2030		Common Stock		2000.0				2000.0				D			
0001415889-24-003288	1644675	Stock Option (Right to Buy)		46.94					F4	21-FEB-2033		Common Stock		1500.0				1500.0				D			
0001415889-24-003278	1644480	Stock Option (Right to Buy)		37.31					F9	16-JAN-2028		Common Stock		3500.0				3500.0				D			
0001415889-24-003278	1644479	Stock Option (Right to Buy)		34.35					F8	04-JAN-2029		Common Stock		3500.0				3500.0				D			
0001415889-24-003278	1644478	Stock Option (Right to Buy)		37.4					F7	18-FEB-2030		Common Stock		3500.0				3500.0				D			
0001415889-24-003278	1644477	Stock Option (Right to Buy)		34.91					F6	10-FEB-2031		Common Stock		5000.0				5000.0				D			
0001415889-24-003278	1644476	Stock Option (Right to Buy)		53.82					F5	03-FEB-2032		Common Stock		2500.0				2500.0				D			
0001415889-24-003278	1644475	Stock Option (Right to Buy)		46.94					F4	21-FEB-2033		Common Stock		2500.0				2500.0				D			
0001127602-24-004382	1644514	Stock Option		38.78					F8	19-MAY-2028		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644513	Stock Option		38.93					F7	15-MAY-2026		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644512	Stock Option		45.65					F6	16-MAY-2025		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644511	Stock Option		38.88					F5	16-MAY-2024		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644510	Stock Option		24.91					F4	24-MAY-2030		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644515	Stock Option		32.3					F9	18-MAY-2029		Common Stock		2000.0				2000.0				D			
0001127602-24-004382	1644509	Stock Option		21.55					F3	27-MAY-2027		Common Stock		2000.0				2000.0				D			
0000793952-24-000068	1644535	Restricted Stock Units		0.0				05-FEB-2025	F1	05-FEB-2027	F1	Common Stock		9505.0				9505.0				D			
0000793952-24-000066	1644307	Restricted Stock Units		0.0				05-FEB-2025	F1	05-FEB-2027	F1	Common Stock		4097.0				4097.0				D			
0000793952-24-000064	1644645	Restricted Stock Units		0.0				05-FEB-2025		05-FEB-2027		Common Stock		4546.0				4546.0				D			
0000793952-24-000062	1644340	Restricted Stock Units		0.0				05-FEB-2025	F1	05-FEB-2027	F1	Common Stock		6730.0				6730.0				D			
0000793952-24-000060	1644338	Restricted Stock Units		0.0				05-FEB-2025	F1	05-FEB-2027	F1	Common Stock		9505.0				9505.0				D			
0000793952-24-000058	1644562	Restricted Stock Units		0.0				05-FEB-2025	F1	05-FEB-2027	F1	Common Stock		5490.0				5490.0				D			
0000793952-24-000056	1644487	Restricted Stock Units		0.0				04-MAY-2022	F1	04-MAY-2024	F1	Common Stock		1587.0				1587.0				D			
0000793952-24-000053	1644700	Restricted Stock Units		0.0				05-FEB-2025	F2	05-FEB-2027	F2	Common Stock		191854.0				191854.0				D			
0001127602-24-004367	1644701	Stock Option		24.91					F2	24-MAY-2030		Common Stock		5000.0				5000.0				D			
0001415889-24-003263	1644686	Stock Option (Right to Buy)		34.35					F8	04-JAN-2029		Common Stock		2000.0				2000.0				D			
0001415889-24-003263	1644684	Stock Option (Right to Buy)		34.91					F6	10-FEB-2031		Common Stock		3000.0				3000.0				D			
0001415889-24-003263	1644683	Stock Option (Right to Buy)		53.82					F5	03-FEB-2032		Common Stock		1500.0				1500.0				D			
